user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
973,ZAF,0,73,185,20,CIVIL ENGINEER,0,772,950,3
976,SWE,0,68,180,20,TAXI DRIVER,0,15,700,2
977,ZAF,0,83,190,20,STUDENT,0,39,550,2
978,ZAF,0,73,180,22,STUDENT,0,175,900,3
981,CAN,0,73,176,22,STUDENT,0,71,750,2
985,SWE,0,68,184,33,QUALITY ASSURANCE,0,1093,1000,4
998,SWE,0,73,184,2020,NADA,0,23,750,2
1000,HRV,0,58,174,19,STUDENT,0,236,850,3
1003,DEU,0,63,171,20,STUDENT,0,47,1000,4
1004,NLD,0,68,183,30,RELUCTANT BUSINESSMAN,0,376,1150,4
1013,BGR,0,63,181,25,STUDENT,1,20,1100,4
1015,SWE,0,83,186,18,SOFTWARE ENGINEER,0,9,500,2
1016,ZAF,0,68,171,21,FINANCE,1,1142,1100,4
1018,CAN,0,78,195,21,STUDENT,0,25,750,2
1030,SWE,0,73,182,20,STUDENT,0,1,500,2
1032,USA,0,73,72,30,EDITOR,0,25,950,3
1033,USA,0,58,172,31,ROUTE SETTER,1,25,950,3
1034,USA,0,58,168,26,GAUCHO,1,279,1200,4
1039,GBR,0,58,175,19,STUDENT,0,25,600,2
1042,USA,0,88,198,35,ARCHITECT,0,91,650,2
1045,BGR,0,58,171,22,SOFTWARE DEVELOPER,0,174,850,3
1051,ESP,0,48,159,24,CLIMBER,1,1143,1350,4
1053,SWE,0,88,179,26,LäRARE,0,250,900,3
1054,ITA,0,63,176,20,STUDENT,0,9,1050,4
1058,ZAF,0,78,180,19,STUDENT,0,54,550,2
1071,ITA,0,63,178,33,HELICOPTER PILOT,1,39,1050,4
1080,ITA,0,78,182,34,UNIV. PROF.,0,75,950,3
1082,NLD,0,73,186,24,STUDENT,0,330,1150,4
1091,SWE,0,83,188,34,DRIFTER,0,31,950,3
1096,POL,0,68,185,20,SOFTWARE DEVELOPER,1,151,1000,4
1100,SWE,1,63,168,22,SKOLFRöKEN,0,12,550,2
1112,DNK,0,73,186,22,STRUCTURAL ENGINEER,0,969,1050,4
1119,GBR,0,68,180,25,SPORTS DEVELOPMENT OFFICER,0,221,1000,4
1120,POL,0,98,182,22,PHYSICIAN,1,29,600,2
1130,AUS,0,68,178,20,DOCUMENTATION SPECIALIST,1,75,950,3
1134,HKG,0,73,178,28,ENGINEER,1,66,1000,4
1146,USA,0,68,175,21,CLIMBING COACH,0,129,900,3
1160,FRA,0,63,175,7,STUDENT,1,28,1100,4
1161,NOR,0,73,180,29,RESEARCH SCIENTIST (PHYSICS),0,221,1100,4
1166,NZL,0,78,183,25,ARTIST,0,166,1150,4
1176,GBR,0,83,185,34,SPORT SCIENCE TECHNICIAN,0,135,900,3
1185,FRA,0,63,170,27,BE ESCALADE,1,939,1150,4
1197,ESP,0,58,180,20,STUDENT,0,16,700,2
1212,USA,0,88,190,22,FIREFIGHTER,0,23,450,1
1213,BEL,0,53,165,21,STUDENT,0,20,800,3
1219,SWE,0,78,183,38,WATER RESOURCES MANAGEMENT ADVISOR,0,46,700,2
1222,FRA,0,78,172,19,EXECUTIVE,0,48,600,2
1225,POL,0,78,169,27,ARCHITECT,0,612,1050,4
1228,AUT,0,58,175,22,PROGRAMMER,0,6,550,2
1233,FRA,0,78,180,28,WEBMASTER,0,52,900,3
1234,SWE,0,78,189,22,GUIDE,1,36,850,3
1246,ZAF,0,53,160,25,STUDENT,0,5,700,2
1252,AUT,0,63,182,26,STUDENT,1,59,1200,4
1255,BEL,0,63,178,25,WEBMASTER,1,41,950,3
1263,ESP,0,68,174,30,PUC SERIES,1,306,1350,4
1266,USA,0,63,170,23,EXPLORING AND DOCUMENTING MY BACK YARD.,1,3235,1150,4
1273,SWE,0,73,172,19,QUANTITATIVE ANALYST,0,19,500,2
1277,BEL,0,63,176,30,INTENSIVE NURSING,1,207,1200,4
1286,AUS,0,68,182,26,STUDENT,1,99,1100,4
1289,SVN,0,58,167,28,CHIEF EDITOR,0,236,1200,4
1293,USA,0,58,195,19,LAB TECHNICIAN,1,1,550,2
1295,USA,0,58,175,23,CLIMBER,0,3,750,2
1305,CAN,0,73,181,20,ENGINEER,1,804,1200,4
1311,DEU,0,78,177,24,ENGINEER,0,175,1000,4
1320,ITA,0,58,160,25,MOUNTAIN GUIDE,1,12,1000,4
1323,USA,0,73,175,26,PROFESSOR,1,539,900,3
1330,CAN,0,68,6,33,TEKNIK - ER,1,53,1050,4
1331,PRT,0,73,182,20,"CLIMBING COACH, EDITOR, PR MENAGER",1,994,950,3
1334,ESP,0,68,175,21,SCIENTIST,0,51,800,3
1335,CAN,0,68,184,25,STUDENT,0,23,900,3
1337,ITA,0,63,165,24,STUDENT,0,386,1150,4
1338,GBR,0,78,179,20,PROFESSIONAL LARD ARSE,0,10,850,3
1340,AUS,0,68,179,25,STUDENT,1,294,1250,4
1351,ZAF,0,68,185,23,STUDENT,1,42,950,3
1353,AUS,1,53,161,5,NORRYS APPRENTICE,1,655,1250,4
1364,CZE,0,78,180,23,OUTDOOR ACTIVITIES,0,60,550,2
1374,AUS,0,68,167,22,FREE SPIRIT AMONGST THE DOGS OF DISCONCERN,1,287,1150,4
1381,SWE,0,73,178,21,STEFAN RASMUSSEN,1,431,1000,4
1382,BEL,1,43,145,25,STUDENT,1,48,600,2
1387,USA,0,88,188,28,SW DEVELOPER,0,65,650,2
1390,AUT,0,63,171,20,ZIMMERER,1,91,1100,4
1392,BEL,0,73,180,20,STUDENT,0,18,500,2
1395,USA,0,73,180,20,GRAD STUDENT,0,13,700,2
1400,PER,0,58,172,19,ARCHITECT. DESIGNER & CLIMBER,1,30,650,2
1403,AUT,0,63,172,26,HEADMASTER/TEACHER,1,283,1200,4
