user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
23160,USA,1,63,173,12,PERSONAL TRAINER,1,11,500,2
23162,USA,0,78,177,13,ENGINEER,0,96,700,2
23165,ESP,0,83,185,12,ESTUDIANTE,0,26,600,2
23166,ESP,0,0,0,2020,,0,10,500,2
23167,USA,0,63,173,15,,0,38,850,3
23168,SWE,0,83,185,12,STUDENT,0,371,850,3
23169,USA,0,68,180,25,,0,190,950,3
23170,AUT,0,78,174,32,.,1,253,950,3
23171,AUS,0,78,172,24,,0,25,850,3
23172,AUT,0,83,185,14,STUDENT,0,831,850,3
23174,ITA,0,63,175,16,,0,2,300,1
23175,FIN,0,73,186,13,,1,331,950,3
23176,ESP,0,73,0,12,ESTUDIANTE,0,37,550,2
23178,ESP,0,63,172,2020,,0,412,900,3
23182,USA,0,0,0,2020,CLIMBER,0,1,600,2
23184,ESP,0,78,178,14,,0,4,450,1
23185,ITA,1,53,160,14,STUDENT,1,25,450,1
23187,USA,1,63,0,17,MENTAL HEALTH WORKER,0,29,750,2
23190,CHE,0,73,186,13,,0,308,950,3
23195,USA,0,68,179,20,,0,352,900,3
23196,ITA,1,0,165,2020,,1,86,1000,4
23198,SWE,1,0,0,13,,0,12,700,2
23199,RUS,0,63,183,16,,0,630,1250,4
23200,FRA,0,0,0,2020,,0,22,1000,4
23202,ZAF,0,0,0,15,,0,204,1100,4
23204,CHE,0,0,171,20,,0,93,1000,4
23206,ITA,0,68,176,15,SPORTS-STUDENT,0,14,550,2
23209,AUT,0,73,176,13,"ZIMMERER,SKILEHRER",1,48,900,3
23210,IRN,0,63,170,26,FIREFIGHTER,1,11,1000,4
23212,USA,0,63,170,16,STUDENT,0,65,800,3
23213,CHE,0,0,0,12,PROGRAMMER,0,12,400,1
23214,NOR,0,0,180,38,,0,45,800,3
23217,ESP,0,63,176,13,,0,15,650,2
23218,CAN,0,0,0,14,,0,94,800,3
23219,RUS,0,68,182,13,RUSSIA,0,174,1100,4
23220,USA,1,0,0,2020,,0,6,850,3
23223,ITA,1,53,160,18,BIOLOGA,1,9,500,2
23224,ITA,0,68,180,13,STUDENTE,0,79,1000,4
23225,AUT,0,68,172,14,STUDENT,0,167,800,3
23228,NOR,0,0,174,10,STUDENT,0,22,800,3
23229,USA,0,0,0,2020,,0,8,850,3
23230,ISL,0,93,180,13,,0,33,650,2
23231,HRV,1,53,153,12,,0,61,450,1
23232,ESP,0,63,173,13,,0,50,600,2
23234,USA,0,0,183,18,,0,7,600,2
23235,CHE,0,83,182,2020,,1,1387,800,3
23236,DEU,0,73,182,46,,1,54,950,3
23237,DNK,0,68,184,2020,,0,177,1000,4
23238,ESP,0,73,166,33,ENCARRAGAT MANTENIMENT,1,13,600,2
23239,ESP,0,68,178,19,"ASESOR-ENTRENADOR ESCALADORES, INVESTIGADOR",1,583,1300,4
23240,FIN,0,0,168,13,,0,167,850,3
23241,ITA,0,73,175,16,,0,984,1050,4
23242,GBR,0,0,0,24,STUDENT,1,771,1250,4
23243,USA,0,73,180,19,,0,10,800,3
23244,FIN,0,73,183,13,,0,29,700,2
23245,SWE,1,58,168,2020,,0,18,700,2
23246,USA,0,0,0,23,,0,292,950,3
23247,POL,0,68,175,15,STUDENT,0,193,900,3
23249,SWE,0,63,174,18,STUDENT,0,3,800,3
23250,UKR,0,73,177,12,,0,6,400,1
23251,ITA,0,63,173,14,ELETTRICISTA,0,86,1000,4
23253,GBR,0,0,0,17,,0,3,800,3
23255,SWE,0,73,182,14,UNSPECIFIED,0,50,1000,4
23257,FIN,0,0,0,17,,0,103,950,3
23258,GBR,0,68,175,25,,1,211,1000,4
23259,USA,0,0,0,2020,,0,40,1000,4
23262,DEU,0,73,180,18,,0,78,900,3
23264,CHE,0,63,170,12,,0,834,850,3
23269,USA,1,0,0,12,,0,150,850,3
23270,POL,0,68,167,16,D&#378;WI&#281;KOWIEC,0,505,950,3
23271,ITA,0,40,178,12,,0,4,650,2
23272,USA,0,63,180,13,,0,15,900,3
23273,USA,0,0,0,2020,,0,4,400,1
23277,ESP,0,78,189,15,,0,249,900,3
23278,ITA,0,63,169,23,BOOKBOUNDER,0,110,1300,4
23280,SVN,0,58,170,12,,0,249,1200,4
23281,ESP,0,100,255,24,VERTICALERO DE PRO Y HACERME CAQUITA CUANDO LAS CHAPAS ALEJAN,1,414,1050,4
23282,RUS,0,58,170,18,,0,25,1100,4
23283,ITA,0,68,178,2020,FILMAKER,1,40,950,3
23284,LUX,0,73,179,13,STUDENT,0,1,600,2
23286,ROM,1,58,175,2020,,0,333,1000,4
23287,DEU,0,73,185,22,-,0,887,900,3
23288,AUS,0,63,182,12,STUDENT,0,292,1100,4
23290,AUT,0,0,185,12,STUDENT,0,61,550,2
23292,ALB,0,0,0,2020,,0,4,900,3
23294,ESP,0,73,174,28,GUIA DE MONTAñA.,0,2,700,2
23298,BRA,0,68,176,2020,,0,31,1050,4
23299,CAN,0,68,170,24,,0,306,950,3
23301,ESP,0,73,178,13,,0,22,500,2
23302,DEU,0,0,0,2020,,0,14,1000,4
23303,SWE,0,78,181,2020,STUDENT,0,2,400,1
23305,ZAF,0,0,0,2020,,0,169,1100,4
23306,USA,0,0,0,17,,0,9,950,3
23307,USA,0,63,200,2020,,0,10,600,2
23309,NZL,0,68,176,26,SALES REP / INDUSTRIAL ABSEILING,1,63,900,3
23311,AUT,1,53,163,26,VERKäUFERIN,0,247,1150,4
23312,HRV,0,0,179,13,,0,134,900,3
23314,AUT,0,0,0,2020,,0,3,1000,4
23315,ESP,0,68,172,13,,0,315,700,2
23316,JPN,1,48,165,20,PROFESSIONAL CLIMBER,1,14,1250,4
23317,SWE,0,73,182,14,,0,4,450,1
23319,CHE,0,0,179,22,,1,1948,1050,4
23320,FRA,0,0,0,2020,,0,13,1050,4
23321,CAN,1,40,141,15,,0,2,1000,4
23322,USA,0,68,0,12,,0,69,900,3
23323,USA,1,0,0,33,SCHOOL BASED MENTORING COORDINATOR,0,66,1050,4
23324,AUT,0,73,182,40,,0,10,900,3
23326,FRA,0,63,175,15,BOULDER/ POSTIER,1,58,1200,4
23327,NOR,1,0,0,2020,,0,14,650,2
23328,SVN,0,58,169,12,,0,11,400,1
23329,ZAF,0,68,0,12,,0,12,600,2
23330,FRA,0,68,175,41,SOFTWEAR ENGINEER,0,17,1050,4
23332,BEL,0,63,170,2020,CONSULTANT,1,8,400,1
